,iteration,epoch,training_size,reference_size,"gen_size,",src,aucroc,gen_size
0,1,2000,10000,500,,ablated_eq1,0.5060132100000001,200.0
0,1,2000,10000,500,,ablated_eq2,0.5050872099999999,200.0
0,1,2000,10000,500,,LOGAN_D1,0.492027285,200.0
0,1,2000,10000,500,,MC,0.5063012,200.0
0,1,2000,10000,500,,gan_leaks,0.506141745,200.0
0,1,2000,10000,500,,gan_leaks_cal,0.5073261849999999,200.0
0,1,2000,10000,500,,LOGAN_0,0.50316196,200.0
0,1,2000,10000,500,,eq1,0.5060132100000001,200.0
0,1,2000,10000,500,,domias,0.50526654,200.0
0,1,2000,10000,3000,,ablated_eq1,0.504776015,200.0
0,1,2000,10000,3000,,ablated_eq2,0.505026895,200.0
0,1,2000,10000,3000,,LOGAN_D1,0.49075492499999995,200.0
0,1,2000,10000,3000,,MC,0.50244445,200.0
0,1,2000,10000,3000,,gan_leaks,0.506043175,200.0
0,1,2000,10000,3000,,gan_leaks_cal,0.50542277,200.0
0,1,2000,10000,3000,,LOGAN_0,0.5062894250000001,200.0
0,1,2000,10000,3000,,eq1,0.504776015,200.0
0,1,2000,10000,3000,,domias,0.504049915,200.0
0,1,2000,10000,5000,,ablated_eq1,0.5050898300000001,200.0
0,1,2000,10000,5000,,ablated_eq2,0.50474113,200.0
0,1,2000,10000,5000,,LOGAN_D1,0.49094853499999996,200.0
0,1,2000,10000,5000,,MC,0.505235405,200.0
0,1,2000,10000,5000,,gan_leaks,0.506219435,200.0
0,1,2000,10000,5000,,gan_leaks_cal,0.5045445,200.0
0,1,2000,10000,5000,,LOGAN_0,0.500277445,200.0
0,1,2000,10000,5000,,eq1,0.5050898300000001,200.0
0,1,2000,10000,5000,,domias,0.50378047,200.0
0,1,2000,10000,10000,,ablated_eq1,0.507986745,200.0
0,1,2000,10000,10000,,ablated_eq2,0.508527885,200.0
0,1,2000,10000,10000,,LOGAN_D1,0.48927135,200.0
0,1,2000,10000,10000,,MC,0.50605761,200.0
0,1,2000,10000,10000,,gan_leaks,0.50821428,200.0
0,1,2000,10000,10000,,gan_leaks_cal,0.50661408,200.0
0,1,2000,10000,10000,,LOGAN_0,0.5060776450000001,200.0
0,1,2000,10000,10000,,eq1,0.507986745,200.0
0,1,2000,10000,10000,,domias,0.508529545,200.0
0,2,2000,10000,500,,ablated_eq1,0.5094224150000001,200.0
0,2,2000,10000,500,,ablated_eq2,0.5098457649999999,200.0
0,2,2000,10000,500,,LOGAN_D1,0.49043634,200.0
0,2,2000,10000,500,,MC,0.5060588049999999,200.0
0,2,2000,10000,500,,gan_leaks,0.509390245,200.0
0,2,2000,10000,500,,gan_leaks_cal,0.507479775,200.0
0,2,2000,10000,500,,LOGAN_0,0.49752485999999996,200.0
0,2,2000,10000,500,,eq1,0.5094224150000001,200.0
0,2,2000,10000,500,,domias,0.5120847350000001,200.0
0,2,2000,10000,3000,,ablated_eq1,0.506199725,200.0
0,2,2000,10000,3000,,ablated_eq2,0.504500615,200.0
0,2,2000,10000,3000,,LOGAN_D1,0.490503915,200.0
0,2,2000,10000,3000,,MC,0.50625916,200.0
0,2,2000,10000,3000,,gan_leaks,0.505526815,200.0
0,2,2000,10000,3000,,gan_leaks_cal,0.5042765250000001,200.0
0,2,2000,10000,3000,,LOGAN_0,0.505505225,200.0
0,2,2000,10000,3000,,eq1,0.506199725,200.0
0,2,2000,10000,3000,,domias,0.503763805,200.0
0,2,2000,10000,5000,,ablated_eq1,0.504941065,200.0
0,2,2000,10000,5000,,ablated_eq2,0.5041772250000001,200.0
0,2,2000,10000,5000,,LOGAN_D1,0.49061537499999996,200.0
0,2,2000,10000,5000,,MC,0.50538902,200.0
0,2,2000,10000,5000,,gan_leaks,0.5073864699999999,200.0
0,2,2000,10000,5000,,gan_leaks_cal,0.505413655,200.0
0,2,2000,10000,5000,,LOGAN_0,0.49781496000000003,200.0
0,2,2000,10000,5000,,eq1,0.504941065,200.0
0,2,2000,10000,5000,,domias,0.505177395,200.0
0,2,2000,10000,10000,,ablated_eq1,0.506412115,200.0
0,2,2000,10000,10000,,ablated_eq2,0.506847335,200.0
0,2,2000,10000,10000,,LOGAN_D1,0.491008015,200.0
0,2,2000,10000,10000,,MC,0.505376465,200.0
0,2,2000,10000,10000,,gan_leaks,0.506158055,200.0
0,2,2000,10000,10000,,gan_leaks_cal,0.50435074,200.0
0,2,2000,10000,10000,,LOGAN_0,0.5002076000000001,200.0
0,2,2000,10000,10000,,eq1,0.506412115,200.0
0,2,2000,10000,10000,,domias,0.506691295,200.0
0,3,2000,10000,500,,ablated_eq1,0.50658523,200.0
0,3,2000,10000,500,,ablated_eq2,0.5037056400000001,200.0
0,3,2000,10000,500,,LOGAN_D1,0.49088931999999996,200.0
0,3,2000,10000,500,,MC,0.5083311300000001,200.0
0,3,2000,10000,500,,gan_leaks,0.507637535,200.0
0,3,2000,10000,500,,gan_leaks_cal,0.50761914,200.0
0,3,2000,10000,500,,LOGAN_0,0.49884221000000006,200.0
0,3,2000,10000,500,,eq1,0.50658523,200.0
0,3,2000,10000,500,,domias,0.5031919899999999,200.0
0,3,2000,10000,3000,,ablated_eq1,0.504603055,200.0
0,3,2000,10000,3000,,ablated_eq2,0.502356545,200.0
0,3,2000,10000,3000,,LOGAN_D1,0.490432495,200.0
