,iteration,epoch,training_size,reference_size,gen_size,src,aucroc
0,1,2000,100,10000,500,ablated_eq1,0.6238
0,1,2000,100,10000,500,ablated_eq2,0.6809
0,1,2000,100,10000,500,LOGAN_D1,0.5134000000000001
0,1,2000,100,10000,500,MC,0.64015
0,1,2000,100,10000,500,gan_leaks,0.6421999999999999
0,1,2000,100,10000,500,gan_leaks_cal,0.7127
0,1,2000,100,10000,500,LOGAN_0,0.521
0,1,2000,100,10000,500,eq1,0.6238
0,1,2000,100,10000,500,domias,0.6565000000000001
0,1,2000,500,10000,500,ablated_eq1,0.510004
0,1,2000,500,10000,500,ablated_eq2,0.519888
0,1,2000,500,10000,500,LOGAN_D1,0.502136
0,1,2000,500,10000,500,MC,0.5280600000000001
0,1,2000,500,10000,500,gan_leaks,0.529644
0,1,2000,500,10000,500,gan_leaks_cal,0.544848
0,1,2000,500,10000,500,LOGAN_0,0.502804
0,1,2000,500,10000,500,eq1,0.510004
0,1,2000,500,10000,500,domias,0.515892
0,1,2000,1000,10000,500,ablated_eq1,0.522345
0,1,2000,1000,10000,500,ablated_eq2,0.536029
0,1,2000,1000,10000,500,LOGAN_D1,0.49131899999999995
0,1,2000,1000,10000,500,MC,0.5353215
0,1,2000,1000,10000,500,gan_leaks,0.5394599999999999
0,1,2000,1000,10000,500,gan_leaks_cal,0.549038
0,1,2000,1000,10000,500,LOGAN_0,0.5055499999999999
0,1,2000,1000,10000,500,eq1,0.522345
0,1,2000,1000,10000,500,domias,0.5368109999999999
0,1,2000,3000,10000,500,ablated_eq1,0.5143917777777778
0,1,2000,3000,10000,500,ablated_eq2,0.5176092222222222
0,1,2000,3000,10000,500,LOGAN_D1,0.4891279444444444
0,1,2000,3000,10000,500,MC,0.5108429444444444
0,1,2000,3000,10000,500,gan_leaks,0.5168856666666667
0,1,2000,3000,10000,500,gan_leaks_cal,0.5200503333333333
0,1,2000,3000,10000,500,LOGAN_0,0.5043536666666666
0,1,2000,3000,10000,500,eq1,0.5143917777777778
0,1,2000,3000,10000,500,domias,0.5175953333333334
0,1,2000,5000,10000,500,ablated_eq1,0.5049671600000001
0,1,2000,5000,10000,500,ablated_eq2,0.5074478
0,1,2000,5000,10000,500,LOGAN_D1,0.49519806000000005
0,1,2000,5000,10000,500,MC,0.5086743399999999
0,1,2000,5000,10000,500,gan_leaks,0.51405944
0,1,2000,5000,10000,500,gan_leaks_cal,0.51729018
0,1,2000,5000,10000,500,LOGAN_0,0.50095546
0,1,2000,5000,10000,500,eq1,0.5049671600000001
0,1,2000,5000,10000,500,domias,0.50740968
0,1,2000,7000,10000,500,ablated_eq1,0.49537339795918367
0,1,2000,7000,10000,500,ablated_eq2,0.4979649285714286
0,1,2000,7000,10000,500,LOGAN_D1,0.5063571020408164
0,1,2000,7000,10000,500,MC,0.5005964285714286
0,1,2000,7000,10000,500,gan_leaks,0.5013961326530613
0,1,2000,7000,10000,500,gan_leaks_cal,0.5062178775510204
0,1,2000,7000,10000,500,LOGAN_0,0.5036584285714286
0,1,2000,7000,10000,500,eq1,0.49537339795918367
0,1,2000,7000,10000,500,domias,0.49806141836734696
0,1,2000,10000,10000,500,ablated_eq1,0.4962444100000001
0,1,2000,10000,10000,500,ablated_eq2,0.49930207
0,1,2000,10000,10000,500,LOGAN_D1,0.5026628
0,1,2000,10000,10000,500,MC,0.499328825
0,1,2000,10000,10000,500,gan_leaks,0.49772645
0,1,2000,10000,10000,500,gan_leaks_cal,0.49984882500000005
0,1,2000,10000,10000,500,LOGAN_0,0.49793131
0,1,2000,10000,10000,500,eq1,0.4962444100000001
0,1,2000,10000,10000,500,domias,0.49875848
0,2,2000,100,10000,500,ablated_eq1,0.6389
0,2,2000,100,10000,500,ablated_eq2,0.6714
0,2,2000,100,10000,500,LOGAN_D1,0.5166000000000001
0,2,2000,100,10000,500,MC,0.6062000000000001
0,2,2000,100,10000,500,gan_leaks,0.6564
0,2,2000,100,10000,500,gan_leaks_cal,0.7019000000000001
0,2,2000,100,10000,500,LOGAN_0,0.5005000000000001
0,2,2000,100,10000,500,eq1,0.6389
0,2,2000,100,10000,500,domias,0.6625
0,2,2000,500,10000,500,ablated_eq1,0.515324
0,2,2000,500,10000,500,ablated_eq2,0.528964
0,2,2000,500,10000,500,LOGAN_D1,0.499884
0,2,2000,500,10000,500,MC,0.526374
0,2,2000,500,10000,500,gan_leaks,0.53188
0,2,2000,500,10000,500,gan_leaks_cal,0.5524039999999999
0,2,2000,500,10000,500,LOGAN_0,0.518
0,2,2000,500,10000,500,eq1,0.515324
0,2,2000,500,10000,500,domias,0.52142
0,2,2000,1000,10000,500,ablated_eq1,0.522325
0,2,2000,1000,10000,500,ablated_eq2,0.533956
0,2,2000,1000,10000,500,LOGAN_D1,0.48970800000000003
0,2,2000,1000,10000,500,MC,0.518621
0,2,2000,1000,10000,500,gan_leaks,0.530049
0,2,2000,1000,10000,500,gan_leaks_cal,0.538325
0,2,2000,1000,10000,500,LOGAN_0,0.510895
0,2,2000,1000,10000,500,eq1,0.522325
0,2,2000,1000,10000,500,domias,0.535312
0,2,2000,3000,10000,500,ablated_eq1,0.518718888888889
0,2,2000,3000,10000,500,ablated_eq2,0.5233374444444444
0,2,2000,3000,10000,500,LOGAN_D1,0.4916218888888889
0,2,2000,3000,10000,500,MC,0.5105055555555555
0,2,2000,3000,10000,500,gan_leaks,0.514497
0,2,2000,3000,10000,500,gan_leaks_cal,0.5141283333333333
0,2,2000,3000,10000,500,LOGAN_0,0.5108675555555555
0,2,2000,3000,10000,500,eq1,0.518718888888889
0,2,2000,3000,10000,500,domias,0.5229707777777779
0,2,2000,5000,10000,500,ablated_eq1,0.50674344
0,2,2000,5000,10000,500,ablated_eq2,0.50922008
0,2,2000,5000,10000,500,LOGAN_D1,0.49743785999999995
0,2,2000,5000,10000,500,MC,0.5105225
0,2,2000,5000,10000,500,gan_leaks,0.51117428
0,2,2000,5000,10000,500,gan_leaks_cal,0.5138231
0,2,2000,5000,10000,500,LOGAN_0,0.50045324
0,2,2000,5000,10000,500,eq1,0.50674344
0,2,2000,5000,10000,500,domias,0.5091022000000001
0,2,2000,7000,10000,500,ablated_eq1,0.4954429897959184
0,2,2000,7000,10000,500,ablated_eq2,0.4977186836734694
0,2,2000,7000,10000,500,LOGAN_D1,0.5049991530612244
0,2,2000,7000,10000,500,MC,0.5016864081632654
0,2,2000,7000,10000,500,gan_leaks,0.5028276836734694
0,2,2000,7000,10000,500,gan_leaks_cal,0.5066650204081633
0,2,2000,7000,10000,500,LOGAN_0,0.49424167346938774
0,2,2000,7000,10000,500,eq1,0.4954429897959184
0,2,2000,7000,10000,500,domias,0.4974252551020408
0,2,2000,10000,10000,500,ablated_eq1,0.49752723
0,2,2000,10000,10000,500,ablated_eq2,0.50201828
0,2,2000,10000,10000,500,LOGAN_D1,0.5026408
0,2,2000,10000,10000,500,MC,0.500786035
0,2,2000,10000,10000,500,gan_leaks,0.498900825
0,2,2000,10000,10000,500,gan_leaks_cal,0.5004168699999999
0,2,2000,10000,10000,500,LOGAN_0,0.49897948000000003
0,2,2000,10000,10000,500,eq1,0.49752723
0,2,2000,10000,10000,500,domias,0.5017107199999999
0,3,2000,100,10000,500,ablated_eq1,0.6384
0,3,2000,100,10000,500,ablated_eq2,0.6684
0,3,2000,100,10000,500,LOGAN_D1,0.5208
0,3,2000,100,10000,500,MC,0.62005
0,3,2000,100,10000,500,gan_leaks,0.658
0,3,2000,100,10000,500,gan_leaks_cal,0.7098
0,3,2000,100,10000,500,LOGAN_0,0.4994
0,3,2000,100,10000,500,eq1,0.6384
0,3,2000,100,10000,500,domias,0.6642
0,3,2000,500,10000,500,ablated_eq1,0.509348
0,3,2000,500,10000,500,ablated_eq2,0.5197280000000001
0,3,2000,500,10000,500,LOGAN_D1,0.500644
0,3,2000,500,10000,500,MC,0.515884
0,3,2000,500,10000,500,gan_leaks,0.5184880000000001
0,3,2000,500,10000,500,gan_leaks_cal,0.531908
0,3,2000,500,10000,500,LOGAN_0,0.5066200000000001
0,3,2000,500,10000,500,eq1,0.509348
0,3,2000,500,10000,500,domias,0.518952
0,3,2000,1000,10000,500,ablated_eq1,0.5187839999999999
0,3,2000,1000,10000,500,ablated_eq2,0.523526
0,3,2000,1000,10000,500,LOGAN_D1,0.487791
0,3,2000,1000,10000,500,MC,0.5308385
0,3,2000,1000,10000,500,gan_leaks,0.534367
0,3,2000,1000,10000,500,gan_leaks_cal,0.5416690000000001
0,3,2000,1000,10000,500,LOGAN_0,0.512216
0,3,2000,1000,10000,500,eq1,0.5187839999999999
0,3,2000,1000,10000,500,domias,0.5253889999999999
0,3,2000,3000,10000,500,ablated_eq1,0.5081757777777778
0,3,2000,3000,10000,500,ablated_eq2,0.5085596666666666
0,3,2000,3000,10000,500,LOGAN_D1,0.4947546111111111
0,3,2000,3000,10000,500,MC,0.5102917222222222
0,3,2000,3000,10000,500,gan_leaks,0.5143249999999999
0,3,2000,3000,10000,500,gan_leaks_cal,0.5176957777777779
0,3,2000,3000,10000,500,LOGAN_0,0.491432
0,3,2000,3000,10000,500,eq1,0.5081757777777778
0,3,2000,3000,10000,500,domias,0.5081631111111111
0,3,2000,5000,10000,500,ablated_eq1,0.50088592
0,3,2000,5000,10000,500,ablated_eq2,0.49934992000000006
